Date,Price,Open,High,Low
2009-07-24,689,655.5,691.5,655.5
2009-07-28,682.5,696.75,708.75,679.25
2009-07-29,700.5,679.5,705,673.75
2009-07-30,715.5,707.25,722.25,702.75
2009-07-31,711.5,708.5,724.25,701.5
2009-08-03,744.5,712.75,749.75,712.75
2009-08-04,735,742,748,724.75
2009-08-05,738.5,728.75,745.5,728.5
2009-08-06,735.25,738.75,747.75,722
2009-08-07,734.25,735.25,743.25,729
2009-08-10,734.75,733,742.75,727
2009-08-11,723.75,730.75,742.5,718.75
2009-08-12,734.5,724.75,738.25,714.25
2009-08-13,749.75,737,758.75,736
2009-08-14,767.25,753.5,779.75,749.75
2009-08-17,732.75,760.75,763.75,725.75
2009-08-18,745.5,733.5,749.75,730.25
2009-08-19,751.75,742,753.75,733.75
2009-08-20,782,761,785.25,756
2009-08-21,781,781.5,808,772
2009-08-24,823.25,787.75,832.75,784.75
2009-08-25,812.75,823,833.75,810.25
2009-08-27,8,7.99,8.11,7.93
2009-08-28,8.05,8.06,8.13,7.99
2009-08-31,8.05,8.05,8.05,8.05
2009-09-01,7.96,8.03,8.14,7.85
2009-09-02,7.89,7.94,8.01,7.81
2009-09-03,7.78,7.93,7.93,7.78
2009-09-04,7.91,7.8,8,7.68
2009-09-08,8.02,7.99,8.04,7.9
2009-09-09,8.02,7.98,8.05,7.95
2009-09-10,8.06,8.07,8.08,7.99
2009-09-11,8.11,8.07,8.2,8.06
2009-09-14,8.02,8.02,8.08,7.87
2009-09-15,8.06,8.02,8.16,8
2009-09-16,8.63,8.09,9.05,8.06
2009-09-17,8.82,8.63,8.84,8.56
2009-09-18,878.5,871.5,885.5,869.25
2009-09-21,866.25,889.25,893.5,854.5
2009-09-23,8.81,8.74,8.85,8.68
2009-09-24,8.52,8.73,8.76,8.35
2009-09-25,8.42,8.52,8.54,8.39
2009-09-28,8.33,8.4,8.5,8.27
2009-09-29,8.46,8.37,8.51,8.24
2009-09-30,8.54,8.44,8.67,8.41
2009-10-02,825.5,839.75,839.75,821.75
2009-10-05,835.75,826.25,836.75,817.75
2009-10-06,871,839.75,874.5,838.25
2009-10-07,868.75,866,869.75,854.5
2009-10-08,871.75,875.25,883.5,864.75
2009-10-09,860.75,873.25,877,856.5
2009-10-12,885.5,862.5,893.5,859.5
2009-10-13,885.75,885.75,898.75,882.25
2009-10-14,893,891.5,900.25,881.75
2009-10-15,916.75,898,922.25,895.75
2009-10-16,910.5,923,929.5,904.5
2009-10-19,941.75,909.75,941.75,901.5
2009-10-20,934.5,938,949.5,926.5
2009-10-21,913,919,920.5,899
2009-10-22,892.75,895.75,906.5,884.25
2009-10-23,879.75,906,906,878
2009-10-26,881.75,880.75,894.25,872.25
2009-10-27,851.75,880.25,885,849.5
2009-10-28,827.75,848,852.25,825.5
2009-10-29,844.75,825.75,846.5,822.75
2009-10-30,847,844.25,873.75,841.5
2009-11-02,861.5,845.25,869.5,835.25
2009-11-03,857.25,865.75,865.75,848
2009-11-04,872,866.5,876.25,862
2009-11-05,882,866.5,892,861
2009-11-06,898,878.5,906,872.25
2009-11-09,916.75,914,919,912.25
2009-11-10,903.75,928.5,931.75,903.75
